session_id,test_version,progress_bin,bin_center,session_bin_pred
52c3627d-635c-44b0-8eca-f1a6c372019d,2,9,0.95,7.299338054656983
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,0,0.05,5.629322111606598
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,1,0.15,3.0463014443715415
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,2,0.25,5.265323797861735
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,3,0.35,3.641099452972412
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,4,0.45,4.366447528203328
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,5,0.55,6.897308826446533
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,6,0.65,3.7928295930226645
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,7,0.75,5.1439244747161865
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,8,0.85,3.779453992843628
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,9,0.95,5.803303003311157
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,0,0.05,4.960469741087693
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,1,0.15,5.051608929267297
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,2,0.25,5.195881935266348
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,3,0.35,5.482980728149414
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,4,0.45,5.852659463882446
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,5,0.55,5.571032854226919
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,6,0.65,5.316398987403283
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,7,0.75,5.119075261629545
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,8,0.85,5.487958046106192
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,9,0.95,5.329874112055852
dfb19734-6102-44df-8e11-9947e134eeb2,2,0,0.05,3.8991355895996094
dfb19734-6102-44df-8e11-9947e134eeb2,2,1,0.15,4.2858312129974365
dfb19734-6102-44df-8e11-9947e134eeb2,2,2,0.25,4.290584230422974
dfb19734-6102-44df-8e11-9947e134eeb2,2,3,0.35,5.630133271217346
dfb19734-6102-44df-8e11-9947e134eeb2,2,4,0.45,4.057574808597565
dfb19734-6102-44df-8e11-9947e134eeb2,2,5,0.55,5.5765941619873045
dfb19734-6102-44df-8e11-9947e134eeb2,2,6,0.65,3.871877908706665
dfb19734-6102-44df-8e11-9947e134eeb2,2,7,0.75,6.089396572113037
dfb19734-6102-44df-8e11-9947e134eeb2,2,8,0.85,4.083616137504578
dfb19734-6102-44df-8e11-9947e134eeb2,2,9,0.95,5.605963039398193
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,0,0.05,7.437729299068451
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,1,0.15,2.6666967570781708
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,2,0.25,4.49674129486084
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,3,0.35,4.835450728734334
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,4,0.45,4.689786672592163
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,5,0.55,2.8559165596961975
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,6,0.65,3.6188971201578775
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,7,0.75,3.075020492076874
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,8,0.85,3.8251429200172424
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,9,0.95,3.6708037853240967
