session_id,test_version,progress_bin,bin_center,session_bin_true
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,7,0.75,4.952777918830971
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,8,0.85,3.695654701807243
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,9,0.95,6.625275387134911
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,0,0.05,5.320590522912055
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,1,0.15,4.415161162075544
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,2,0.25,4.357278253875586
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,3,0.35,4.631586457067661
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,4,0.45,5.153895813681756
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,5,0.55,3.963382156475248
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,6,0.65,3.941336391710979
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,7,0.75,3.4774120141905813
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,8,0.85,3.356826610001635
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,9,0.95,3.2411781108636006
dfb19734-6102-44df-8e11-9947e134eeb2,2,0,0.05,5.21551432206239
dfb19734-6102-44df-8e11-9947e134eeb2,2,1,0.15,4.445465861652579
dfb19734-6102-44df-8e11-9947e134eeb2,2,2,0.25,4.993696692074093
dfb19734-6102-44df-8e11-9947e134eeb2,2,3,0.35,5.84378960021713
dfb19734-6102-44df-8e11-9947e134eeb2,2,4,0.45,4.4307564644563975
dfb19734-6102-44df-8e11-9947e134eeb2,2,5,0.55,6.248085738531717
dfb19734-6102-44df-8e11-9947e134eeb2,2,6,0.65,4.304146467725237
dfb19734-6102-44df-8e11-9947e134eeb2,2,7,0.75,6.8022196563483615
dfb19734-6102-44df-8e11-9947e134eeb2,2,8,0.85,4.7365342536775135
dfb19734-6102-44df-8e11-9947e134eeb2,2,9,0.95,5.902892165018191
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,0,0.05,10.234914476676316
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,1,0.15,4.007477970571489
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,2,0.25,6.7341238106642916
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,3,0.35,5.848559413194998
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,4,0.45,5.561976825419935
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,5,0.55,3.6898626025741756
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,6,0.65,5.518933389660433
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,7,0.75,4.5114544170303
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,8,0.85,4.762486102061904
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,9,0.95,3.9793277711654214
